TrackID,YearMonth,train,val,test
4507,2024-05,14097,4028,2013
4507,2024-06,16882,4823,2412
4507,2024-07,18531,5295,2647
4507,2024-08,18332,5238,2618
4507,2024-09,15665,4476,2237
4507,2024-10,9225,2636,1318
4507,2024-11,19786,5653,2827
4507,2024-12,21024,6007,3004
4507,2025-01,20531,5866,2933
4507,2025-02,20346,5813,2907
4507,2025-03,19576,5593,2796
4507,2025-04,10867,3105,1552
4507,2025-05,13089,3740,1869
4507,2025-06,4463,1275,638
4507,2025-07,9183,2624,1312
4507,2025-08,3653,1044,521
4507,2025-09,8427,2408,1203
4507,2025-10,9253,2644,1321
4507,2025-11,9003,2572,1286
4507,2025-12,7822,2235,1117
4509,2024-05,11565,3304,1652
4509,2024-06,11011,3146,1573
4509,2024-07,14941,4269,2135
4509,2024-08,8583,2452,1227
4509,2024-09,12907,3688,1844
4509,2024-10,12315,3519,1759
4509,2024-11,12432,3552,1776
4509,2024-12,13092,3741,1870
4509,2025-01,10842,3098,1549
4509,2025-02,10760,3074,1538
4509,2025-03,13712,3918,1959
4509,2025-04,2384,681,341
4509,2025-05,7378,2108,1054
4509,2025-06,11336,3239,1620
4509,2025-07,17634,5038,2519
4509,2025-08,16291,4655,2327
4509,2025-09,16441,4697,2349
4509,2025-10,18360,5246,2622
4509,2025-11,17720,5063,2532
4509,2025-12,10018,2862,1431
4511,2024-05,14824,4235,2118
4511,2024-06,8709,2488,1245
4511,2024-07,11806,3373,1686
4511,2024-08,9414,2690,1344
4511,2024-09,8914,2547,1274
4511,2024-10,9981,2852,1425
4511,2024-11,9548,2728,1364
4511,2024-12,7216,2062,1030
4511,2025-01,11476,3279,1640
4511,2025-02,10155,2901,1451
4511,2025-03,8940,2554,1277
4511,2025-04,8731,2495,1247
4511,2025-05,8919,2548,1275
4511,2025-06,9559,2731,1366
4511,2025-07,12050,3443,1721
4511,2025-08,13618,3891,1945
4511,2025-09,12424,3550,1774
4511,2025-10,14197,4056,2028
4511,2025-11,13055,3730,1865
4511,2025-12,8965,2561,1281
4513,2024-05,8050,2300,1150
4513,2024-06,10196,2913,1456
4513,2024-07,9821,2806,1403
4513,2024-08,8919,2548,1275
4513,2024-09,7738,2211,1106
4513,2024-10,9978,2851,1426
4513,2024-11,8821,2520,1260
4513,2024-12,8223,2349,1175
4513,2025-01,12013,3432,1717
4513,2025-02,8216,2347,1174
4513,2025-03,13194,3770,1884
4513,2025-04,7752,2215,1108
4513,2025-05,2711,775,387
4513,2025-06,8173,2335,1168
4513,2025-07,13514,3861,1930
4513,2025-08,10367,2962,1481
4513,2025-09,12667,3619,1810
4513,2025-10,10831,3095,1547
4513,2025-11,10168,2905,1453
4513,2025-12,10671,3049,1524
4515,2024-05,16152,4615,2308
4515,2024-06,12976,3707,1854
4515,2024-07,17779,5080,2540
4515,2024-08,16133,4609,2305
4515,2024-09,14314,4090,2045
4515,2024-10,15252,4358,2179
4515,2024-11,5649,1614,807
4515,2024-12,13982,3995,1997
4515,2025-01,16568,4734,2366
4515,2025-02,14820,4234,2117
4515,2025-03,16637,4753,2377
4515,2025-04,15352,4386,2193
4515,2025-05,15518,4434,2217
4515,2025-06,16612,4746,2373
4515,2025-07,17842,5098,2549
4515,2025-08,18978,5422,2712
4515,2025-09,16841,4812,2405
4515,2025-10,18850,5386,2692
4515,2025-11,18464,5275,2638
4515,2025-12,4745,1356,677
4517,2024-05,14270,4077,2039
4517,2024-06,13892,3969,1985
4517,2024-07,8833,2524,1262
4517,2024-08,10571,3020,1510
4517,2024-09,8804,2515,1258
4517,2024-10,15000,4286,2143
4517,2024-11,11944,3413,1706
4517,2024-12,11672,3335,1668
4517,2025-01,10103,2887,1443
4517,2025-02,16755,4787,2394
4517,2025-03,16828,4808,2404
4517,2025-04,10065,2876,1437
4517,2025-05,8991,2569,1284
4517,2025-06,11392,3255,1627
4517,2025-07,13384,3824,1912
4517,2025-08,12880,3680,1840
4517,2025-09,7911,2260,1131
4517,2025-10,7166,2047,1024
4517,2025-11,12706,3630,1815
4517,2025-12,7401,2115,1057
4519,2024-05,17682,5052,2526
4519,2024-06,13696,3913,1957
4519,2024-07,9366,2676,1338
4519,2024-08,17440,4983,2491
4519,2024-09,15987,4568,2283
4519,2024-10,10123,2892,1446
4519,2024-11,9806,2802,1401
4519,2024-12,9652,2758,1379
4519,2025-01,11078,3165,1583
4519,2025-02,10312,2946,1473
4519,2025-03,9571,2735,1367
4519,2025-04,10912,3118,1559
4519,2025-05,10768,3077,1538
4519,2025-06,11732,3352,1676
4519,2025-07,10667,3048,1523
4519,2025-08,8633,2467,1233
4519,2025-09,8710,2489,1244
4519,2025-10,11310,3231,1616
4519,2025-11,11501,3286,1643
4519,2025-12,11243,3212,1606
6503,2024-05,9542,2726,1364
6503,2024-06,2664,761,380
6503,2024-07,2569,734,367
6503,2024-08,2546,727,364
6503,2024-09,4724,1350,674
6503,2024-10,11460,3274,1637
6503,2024-11,9661,2760,1380
6503,2024-12,13655,3901,1951
6503,2025-01,13939,3983,1991
6503,2025-02,12358,3531,1766
6503,2025-03,13222,3778,1888
