Feature,Mean,Std,Min_train,Max_train
Speed,19.061322532512488,18.872127387208703,0.0,96.2422
TCOSpeed,19.314574913189304,19.043503881149835,0.0,179.977
RPM,867.7561514631927,269.24327035919987,0.0,2718.5
FuelLevel,74.08358667839367,15.298866580709081,0.4,100.0
EngTorque,20.123903820844262,37.860427466968154,-125.0,125.0
FuelRate,6.881399683563011,7.854192836625875,0.0,76.8
FuelEco,7.265882553995004,13.086479115430123,0.0,125.0
Coolant,79.32446924591355,10.308528433328815,-4.0,130.0
AmbTemp,18.711554700449213,7.77629649565195,-8.5,44.5
AccPedal,19.584978583337346,24.971940306288552,0.0,100.0
Break,0.21081800025217473,0.36311163018724485,0.0,1.0
Clutch,0.35673613204522625,0.46069670086418346,0.0,1.0
