method,model,rss,r2,aic,bic,k,param_0,param_1,param_2,param_3
vae_with_dist,linear,3.6500213340107432,0.05180775534597104,-30.019985220844447,-28.028520673736466,2,0.017317534736672746,0.6028351747563911,,
vae_with_dist,sinusoidal,1.1918760108726734,0.6903778124340894,-48.40407456090638,-44.42114546669042,4,0.516668055024571,0.4974009815132014,-2.177053481507933,0.8240368722715402
vae_with_dist,joint,1.2459041360309522,0.6763425385054338,-47.51741587046798,-43.53448677625202,4,0.0015282309186549624,0.8018700536562753,-0.5046064236574793,0.6892273412287192
vae_without_dist,linear,3.6007502765748183,0.08273255671001589,-30.291800792932705,-28.300336245824724,2,0.022099167411040677,0.4032847815326289,,
vae_without_dist,sinusoidal,0.43118835748558776,0.8901576027584331,-68.73885067142378,-64.75592157720781,4,0.5896428063833093,0.5151299458266637,-2.3673025825494953,0.6736885146861622
vae_without_dist,joint,0.42889272993978045,0.8907423987725827,-68.84561423270866,-64.8626851384927,4,0.004067026776111755,0.6316384045187006,-0.5799394220168678,0.6804493472626426
iso_score,linear,0.00013100406685183103,0.14499403427720325,-234.7202892825705,-232.7288247354625,2,0.00018277721713211292,0.4497620364897398,,
iso_score,sinusoidal,0.00014714076216448704,0.039676916336302215,-228.39706274336663,-224.41413364915067,4,0.0007829552855420276,0.6480435834925874,-0.5384176841344549,0.45151329286002045
iso_score,joint,0.00011213598657412107,0.2681377013927039,-233.830610617721,-229.84768152350503,4,0.00023584841022203246,0.4492675439693489,0.001381849019985657,1.350896407789274
pca_recon_err,linear,0.005901028746649909,0.026252792753008847,-158.5672170597019,-156.5757525125939,2,0.0004891225493939277,0.27216607545103355,,
pca_recon_err,sinusoidal,0.004117492176448036,0.32055973969728624,-161.76486539083223,-157.78193629661627,4,0.014915586293799377,0.4000000000000048,2.4481729917959534,0.2767132921022965
pca_recon_err,joint,0.004490077388679658,0.25907828867435434,-160.03235230288766,-156.0494232086717,4,0.0009264685940803829,0.26735590987857394,0.012032964816041665,0.9774057986002451
raw_distance,linear,571.549037373424,0.36795557368441045,71.05236021355542,73.0438247606634,2,0.707358890189264,8.567047997883389,,
raw_distance,sinusoidal,658.0404024409107,0.2723095632098703,77.8706811554438,81.85361024965977,4,5.0308663262283995,0.5011821548709781,-2.352500644005158,15.93536415367253
raw_distance,joint,436.28764212413967,0.5175336595051099,69.65138963823264,73.6343187324486,4,0.61232593574135,9.964186765382417,-3.852552068689455,0.4349410371371249
