,precision,recall,f1-score,support
Jan,0.4526,0.0111,0.0217,3866.0
Feb,0.3444,0.0328,0.0599,3809.0
Már,0.3886,0.0332,0.0612,4092.0
Ápr,0.6316,0.0039,0.0078,3043.0
Máj,0.2144,0.3133,0.2546,6757.0
Jún,0.2933,0.0865,0.1336,6485.0
Júl,0.2781,0.5104,0.3601,7294.0
Aug,0.3225,0.2182,0.2603,6984.0
Szept,0.2186,0.0713,0.1075,6903.0
Okt,0.2331,0.4504,0.3072,6769.0
Nov,0.2354,0.4478,0.3086,6769.0
Dec,0.2475,0.4073,0.3079,5939.0
accuracy,0.2508,0.2508,0.2508,0.2508
macro avg,0.3217,0.2155,0.1825,68710.0
weighted avg,0.2962,0.2508,0.2089,68710.0
