,precision,recall,f1-score,support
Jan,0.4074,0.0085,0.0167,3866.0
Feb,0.2406,0.0084,0.0162,3809.0
Már,0.3121,0.0239,0.0445,4092.0
Ápr,0.4706,0.0026,0.0052,3043.0
Máj,0.1983,0.1148,0.1455,6757.0
Jún,0.2404,0.076,0.1155,6485.0
Júl,0.2105,0.637,0.3164,7294.0
Aug,0.2083,0.1714,0.1881,6984.0
Szept,0.1965,0.0466,0.0754,6903.0
Okt,0.1566,0.1621,0.1593,6769.0
Nov,0.2057,0.4874,0.2893,6769.0
Dec,0.2225,0.3634,0.276,5939.0
accuracy,0.2061,0.2061,0.2061,0.2061
macro avg,0.2558,0.1752,0.1373,68710.0
weighted avg,0.2361,0.2061,0.1583,68710.0
